# i  x  y  z   fx  fy  fz   energy
89 -4.29503 7.5395 -5.08056 0.00829797 0.00471549 -0.000248321 -0.0141013
90 -10.3752 1.4954 2.42798 0.00934852 -0.00304048 -0.00530282 -0.0184187
91 -6.01489 -13.4514 4.1534 0.00980738 -0.0121524 -0.000722317 -0.0187856
92 2.39625 -6.10888 1.47503 0.00518447 0.0150275 0.00311816 -0.0231737
93 13.3404 -13.5281 -2.15238 -0.00430996 -0.0171842 0.00502331 -0.0186943
94 -11.5128 6.20472 12.5464 -0.00783154 -0.00792896 -0.00882845 -0.0198498
95 -2.48522 2.00938 11.4758 -0.0036389 -0.0122527 0.0120401 -0.0214981
96 -10.2383 4.1764 -12.7164 -0.00305666 0.010277 -0.0194813 -0.0141958
97 14.5409 -2.84542 10.9288 0.0151075 0.025026 -0.0144516 -0.0168894
98 5.17034 12.9455 11.7681 0.00489611 0.0111149 0.01836 -0.0200826
99 -5.76198 9.39012 -12.2383 -0.013303 0.00695803 0.00574523 -0.0178005
100 3.38426 -1.01222 10.9692 -0.017032 0.00257693 0.00150394 -0.0230755
101 10.9426 -1.96062 7.73522 -0.00310735 0.00577856 0.00412396 -0.0153335
102 -6.69039 -9.99131 -14.2546 -0.00962218 -0.000914902 -0.0178451 -0.0163152
103 1.41167 -7.12581 12.5692 0.0045622 0.00405853 0.0310166 -0.0245204
104 4.00025 8.98561 -0.64608 -0.0148823 -0.0112121 -0.0260675 -0.0333004
105 -8.20466 -11.9988 14.9613 -0.0122471 0.00412493 0.0156564 -0.0082157
106 -13.6257 0.19233 -0.58658 -0.0272637 -0.00617917 -0.0123029 -0.0226435
107 -3.7513 -8.44034 11.5904 -0.00538409 -0.00891326 -0.0105899 -0.0204842
108 14.1981 4.7744 -7.63946 0.0378123 0.00823858 0.00418537 -0.0188945
109 -7.96176 14.7018 8.71437 -0.00619933 0.0354481 0.00214482 -0.014058
110 3.54639 -10.4588 6.47702 0.00491975 -0.0207564 -0.0221096 -0.033352
111 -9.96781 -2.52831 -7.19984 0.00235897 -0.0172843 0.0153285 -0.0239094
112 -11.6213 -8.07163 -5.09713 0.00913469 -0.00798699 -0.00391176 -0.0148553
113 7.8928 -10.8366 -3.11487 -0.00858147 0.0118776 0.0150769 -0.022741
114 -6.62036 -1.65419 12.1484 -0.0111847 0.0131594 0.0180631 -0.022938
115 -1.09502 -11.5774 12.4878 0.0406675 0.00141834 0.0340222 -0.0281395
116 -0.74321 -12.2689 1.10881 0.0153647 0.00390678 0.0305699 -0.0276588
117 3.52121 -5.27172 6.88851 -0.000276205 0.00395575 0.00475758 -0.0282041
118 3.80385 7.62415 -8.95201 -0.008227 -0.0141442 0.00413839 -0.0246597
119 -13.3475 2.24492 -6.71112 -0.0237247 0.0344243 -0.0019925 -0.0269844
120 -11.3062 1.24023 6.16797 0.0138164 -0.0263151 0.00634755 -0.0238087
121 -11.2295 -0.4002 -0.16514 0.0282049 -0.0116338 0.0187275 -0.0228401
122 -9.16834 -8.15387 -14.9854 0.00627571 0.0124918 -0.0270703 -0.0163697
123 -3.61575 -0.74258 14.1943 -0.00776672 0.00707252 0.0108298 -0.0109494
124 -1.88678 9.89932 7.0933 -0.00351023 -0.0176834 0.00827228 -0.0281542
125 -9.92811 13.3048 -12.5252 -0.00847636 0.0242163 -0.00528314 -0.0200631
126 1.43197 -12.7982 -1.60704 -0.031198 -0.0108725 -0.00941734 -0.0235218
127 -11.2743 3.888 6.57503 0.000964781 0.00356713 0.00402361 -0.0309393
128 4.45917 -11.262 8.95934 -0.00466086 -0.015183 0.00346656 -0.0226992
129 14.4481 1.10046 15.2794 0.00956499 -0.0135466 0.017219 -0.00819393
130 3.70847 3.00736 8.13422 -0.00467581 -0.0196356 0.0158811 -0.026527
131 -7.13507 10.2769 1.54555 -0.00183981 -0.0187832 -0.00866638 -0.024821
132 5.15438 14.4195 -0.54369 0.00702897 0.0279227 0.0113125 -0.01398
133 -0.67813 -11.3798 4.67063 0.00986966 -0.00480675 -0.0028921 -0.0202091
134 -10.6987 4.71218 8.9757 0.00469083 0.0129139 0.0182281 -0.0228648
135 13.6431 5.88005 9.11206 0.0375436 0.00602975 0.00803381 -0.0186248
136 -6.02497 -13.201 8.26242 -0.0305135 -0.00906292 -0.00589404 -0.0225315
137 -0.56523 4.74736 10.8125 0.0139536 -0.0208732 0.0294974 -0.0285601
138 13.3058 9.44214 7.14202 -0.0009188 0.00652575 0.0239709 -0.0214385
139 12.1128 14.8066 -6.66768 0.00109938 0.0106529 0.00570581 -0.00614338
140 -2.44743 -11.3278 -12.7263 0.0251453 -0.0117943 0.00175579 -0.0238913
141 4.40244 10.2084 1.51108 0.00732368 0.00849481 0.0134437 -0.0275985
142 0.15073 5.30998 -13.0073 0.00686222 0.00325587 -0.0146121 -0.0151896
143 3.66706 1.44659 -9.41288 -0.00337482 0.0104539 -0.0049567 -0.0202727
144 -13.9986 2.25138 -3.93261 -0.0382381 0.0158379 0.0107415 -0.0242952
145 -8.89466 10.1841 9.09776 -0.0189983 0.0157787 -0.00270375 -0.0236813
146 11.659 4.1666 14.8077 -0.00958537 0.00656746 0.00860743 -0.0143066
147 -10.0615 0.58655 -2.49417 0.0251393 0.00865587 0.00983207 -0.031532
148 14.198 -4.41691 -3.24113 0.0197819 -0.0010551 -0.0239364 -0.0176159
149 6.11806 -4.2732 12.722 0.00606797 0.00974734 -0.00628638 -0.0237221
150 -1.55989 -0.32704 -5.54647 0.00542984 -0.00197757 0.00363155 -0.0229665
151 4.08643 -14.4204 -2.72829 0.00934271 -0.0119517 -0.0113372 -0.0103789
152 11.7394 11.2588 -10.4595 -0.0231545 -0.00785602 -0.000667893 -0.0174418
153 8.75395 5.17352 -12.4528 0.00184366 -0.000155916 0.0131051 -0.0245072
154 -14.4549 -9.75666 2.76579 -0.0130137 -0.00678291 0.0146542 -0.0188981
155 -13.7309 -14.2278 -6.42355 -0.0262739 -0.00562266 -0.0296451 -0.0162372
156 9.99811 -13.3815 12.495 0.0148333 -0.00590999 0.00699685 -0.0227433
157 -2.46389 11.5756 -1.45008 -0.019273 -0.00308221 -0.00387001 -0.0301108
158 -12.8059 -1.42008 6.64164 -0.0335321 0.021281 0.00740773 -0.0227834
159 -5.53194 7.49906 -14.3525 -0.00644634 -0.0122437 -0.0196002 -0.0103721
160 0.50922 -6.0111 -6.90552 0.0141485 0.0047926 -0.0178623 -0.0213379
161 -7.91867 -14.5102 -3.35971 0.010379 -0.035091 -0.00360608 -0.0164271
162 -12.4526 -12.7604 -9.88482 -0.0304287 -0.0015877 -0.00276858 -0.0208335
163 -8.76509 -3.02937 13.2253 -0.0135005 0.0190151 0.000197771 -0.0200451
164 6.71456 15.0348 -8.67016 -0.00361027 0.0125312 0.00369362 -0.00565736
165 5.95978 -0.03378 -2.35788 0.0176381 0.00439365 0.00226349 -0.0242171
166 3.14302 12.4128 8.43212 0.0019813 0.0185946 -0.0105175 -0.0216497
167 12.3481 2.23053 -2.25999 -0.000335292 0.00834097 -0.00440198 -0.0246181
168 -3.64678 -12.1624 6.97742 0.0013014 0.0176239 -0.00827084 -0.0217269
169 13.0564 7.24021 15.4548 -0.00934363 -0.00801577 0.00983907 -0.0135614
